file_name,source_path,file_size_mb,matched_by,matched_keyword
QCDT-GYYHPC 1153-2022 金属技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1153-2022 金属技术监督规程.pdf,0.565,pdf_content,仪表+控制
QCDT-GYYHPC 1154-2022 化学技术监督规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1154-2022 化学技术监督规程.docx,0.076,docx_content,仪表+控制
QCDT-GYYHPC 1154-2022 化学技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1154-2022 化学技术监督规程.pdf,0.573,pdf_content,仪表+控制
QCDT-GYYHPC 1154-2024 化学技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1154-2024 化学技术监督规程.pdf,0.816,pdf_content,仪表+控制
QCDT-GYYHPC 1155-2022 绝缘技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1155-2022 绝缘技术监督规程.pdf,0.745,pdf_content,仪表+控制
QCDT-GYYHPC 1157-2022 自动化技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1157-2022 自动化技术监督规程.pdf,0.590,pdf_content,仪表+控制
QCDT-GYYHPC 1158-2022 节能技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1158-2022 节能技术监督规程.pdf,0.397,pdf_content,仪表+控制
QCDT-GYYHPC 1159-2022 继电保护与安全自动装置技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1159-2022 继电保护与安全自动装置技术监督规程.pdf,0.977,pdf_content,仪表+控制
QCDT-GYYHPC 1160-2022 电能质量技术监督规程.docx,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/企业标准/QCDT-GYYHPC 1160-2022 电能质量技术监督规程.docx,0.126,docx_content,仪表+控制
QCDT-GYYHPC 1160-2022 电能质量技术监督规程.pdf,/data2/无监督数据/未清洗数据/风机设备/中国大唐集团有限公司/水电运行规程/QCDT-GYYHPC 1160-2022 电能质量技术监督规程.pdf,0.346,pdf_content,仪表+控制
